drug_name,max_phase,molecule_type,therapeutic_flag,target_chembl_id,target_name,target_gene,mechanism
QUIZARTINIB,4,Small molecule,1,,Receptor-type tyrosine-protein kinase FLT3,FLT3,INHIBITOR
QUIZARTINIB DIHYDROCHLORIDE,4,Small molecule,1,,Receptor-type tyrosine-protein kinase FLT3,FLT3,INHIBITOR
RABEPRAZOLE SODIUM,4,Small molecule,1,,Potassium-transporting ATPase,ATP4B,INHIBITOR
RACECADOTRIL,3,Small molecule,1,,Neprilysin,MME,INHIBITOR
RALOXIFENE,4,Small molecule,1,,Estrogen receptor,ESR1,MODULATOR
RALOXIFENE HYDROCHLORIDE,4,Small molecule,1,,Estrogen receptor beta,ESR2,MODULATOR
RALTEGRAVIR POTASSIUM,4,Small molecule,1,,Human immunodeficiency virus type 1 integrase,pol,INHIBITOR
RALTITREXED,4,Small molecule,1,,Thymidylate synthase,TYMS,INHIBITOR
RAMELTEON,4,Small molecule,1,,Melatonin receptor,MTNR1B,AGONIST
RAMIPRIL,4,Small molecule,1,,Angiotensin-converting enzyme,ACE,INHIBITOR
RANITIDINE,4,Small molecule,1,,Histamine H2 receptor,HRH2,ANTAGONIST
RANITIDINE BISMUTH CITRATE,4,Small molecule,1,,Histamine H2 receptor,HRH2,ANTAGONIST
RANITIDINE HYDROCHLORIDE,4,Small molecule,1,,Histamine H2 receptor,HRH2,ANTAGONIST
RANOLAZINE,4,Small molecule,1,,Sodium channel protein type 4 subunit alpha,SCN4A,BLOCKER
RANOLAZINE,4,Small molecule,1,,Sodium channel protein type 5 subunit alpha,SCN5A,BLOCKER
RAPACURONIUM BROMIDE,4,Small molecule,1,,Muscle-type nicotinic acetylcholine receptor,CHRNG,ANTAGONIST
RASAGILINE MESYLATE,4,Small molecule,1,,Amine oxidase [flavin-containing] B,MAOB,INHIBITOR
RASAGILINE TARTRATE,4,Small molecule,1,,Amine oxidase [flavin-containing] B,MAOB,INHIBITOR
REBOXETINE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
REGADENOSON,4,Small molecule,1,,Adenosine receptor A2a,ADORA2A,AGONIST
REGORAFENIB,4,Small molecule,1,,Angiopoietin-1 receptor,TEK,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Discoidin domain-containing receptor 2,DDR2,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Ephrin type-A receptor 2,EPHA2,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Fibroblast growth factor receptor 1,FGFR1,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Fibroblast growth factor receptor 2,FGFR2,INHIBITOR
REGORAFENIB,4,Small molecule,1,,High affinity nerve growth factor receptor,NTRK1,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Mast/stem cell growth factor receptor Kit,KIT,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Mitogen-activated protein kinase 11,MAPK11,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Platelet-derived growth factor receptor,PDGFRB,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,INHIBITOR
REGORAFENIB,4,Small molecule,1,,RAF proto-oncogene serine/threonine-protein kinase,RAF1,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Serine/threonine-protein kinase B-raf,BRAF,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Tyrosine-protein kinase ABL1,ABL1,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Tyrosine-protein kinase FRK,FRK,INHIBITOR
REGORAFENIB,4,Small molecule,1,,Vascular endothelial growth factor receptor,KDR,INHIBITOR
RELEBACTAM,4,Small molecule,1,,Beta-lactamase,ampC,INHIBITOR
RELEBACTAM,4,Small molecule,1,,Beta-lactamase CTX-M,blaUOE-1,INHIBITOR
RELEBACTAM,4,Small molecule,1,,Beta-lactamase SHV-1,bla,INHIBITOR
RELEBACTAM,4,Small molecule,1,,Beta-lactamase TEM,blaT-6,INHIBITOR
RELEBACTAM,4,Small molecule,1,,Carbapenem-hydrolyzing beta-lactamase KPC,bla,INHIBITOR
RELUGOLIX,4,Small molecule,1,,Gonadotropin-releasing hormone receptor,GNRHR,ANTAGONIST
REMDESIVIR,4,Small molecule,1,,RNA-directed RNA polymerase L,L,INHIBITOR
REMDESIVIR,4,Small molecule,1,,Replicase polyprotein 1ab,rep,INHIBITOR
REMIFENTANIL HYDROCHLORIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
REMIMAZOLAM BESYLATE,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
REMOXIPRIDE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
REMOXIPRIDE HYDROCHLORIDE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
REPAGLINIDE,4,Small molecule,1,,"Sulfonylurea receptor 1, Kir6.2",KCNJ11,BLOCKER
REPOTRECTINIB,4,Small molecule,1,,BDNF/NT-3 growth factors receptor,NTRK2,INHIBITOR
REPOTRECTINIB,4,Small molecule,1,,CD74-ROS1,ROS1,INHIBITOR
REPOTRECTINIB,4,Small molecule,1,,High affinity nerve growth factor receptor,NTRK1,INHIBITOR
REPOTRECTINIB,4,Small molecule,1,,NT-3 growth factor receptor,NTRK3,INHIBITOR
REPOTRECTINIB,4,Small molecule,1,,Proto-oncogene tyrosine-protein kinase ROS,ROS1,INHIBITOR
REPOTRECTINIB,4,Small molecule,1,,ROS1-SDC4,SDC4,INHIBITOR
REPROTEROL,2,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
RESCINNAMINE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
RESERPINE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
RESMETIROM,4,Small molecule,1,,Thyroid hormone receptor beta,THRB,AGONIST
RETAPAMULIN,4,Small molecule,1,,70S ribosome,rpsZ,INHIBITOR
REVEFENACIN,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
REVUMENIB CITRATE,4,Small molecule,1,,Menin,MEN1,INHIBITOR
REZAFUNGIN ACETATE,4,Small molecule,1,,Candida,,INHIBITOR
RIBAVIRIN,4,Small molecule,1,,Inosine-5'-monophosphate dehydrogenase 1,IMPDH1,INHIBITOR
RIBAVIRIN,4,Small molecule,1,,RNA,,INHIBITOR
RIBAVIRIN,4,Small molecule,1,,RNA-directed RNA polymerase,NS5b,INHIBITOR
RIBOCICLIB,4,Small molecule,1,,Cyclin-dependent kinase 4,CDK4,INHIBITOR
RIBOCICLIB,4,Small molecule,1,,Cyclin-dependent kinase 6,CDK6,INHIBITOR
RIBOCICLIB SUCCINATE,4,Small molecule,1,,Cyclin-dependent kinase 4,CDK4,INHIBITOR
RIBOCICLIB SUCCINATE,4,Small molecule,1,,Cyclin-dependent kinase 6,CDK6,INHIBITOR
RIFABUTIN,4,Small molecule,1,,Bacterial DNA-directed RNA polymerase,rpoZ,INHIBITOR
RIFAMPIN,4,Small molecule,1,,Bacterial DNA-directed RNA polymerase,rpoZ,INHIBITOR
RIFAMYCIN SODIUM,4,Small molecule,1,,DNA-directed RNA polymerase,rpoZ,INHIBITOR
RIFAPENTINE,4,Small molecule,1,,Bacterial DNA-directed RNA polymerase,rpoZ,INHIBITOR
RIFAXIMIN,4,Small molecule,1,,Bacterial DNA-directed RNA polymerase,rpoZ,INHIBITOR
RILPIVIRINE,4,Small molecule,1,,Human immunodeficiency virus type 1 reverse transcriptase,pol,INHIBITOR
RILPIVIRINE HYDROCHLORIDE,4,Small molecule,1,,Human immunodeficiency virus type 1 reverse transcriptase,pol,INHIBITOR
RILUZOLE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
RIMANTADINE HYDROCHLORIDE,4,Small molecule,1,,Matrix protein 2,M,INHIBITOR
RIMEGEPANT,4,Small molecule,1,,Calcitonin gene-related peptide type 1 receptor,CALCRL,ANTAGONIST
RIMEGEPANT SULFATE,4,Small molecule,1,,Calcitonin gene-related peptide type 1 receptor,CALCRL,ANTAGONIST
RIMEXOLONE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
RIMITEROL,2,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
RIMONABANT,4,Small molecule,1,,Cannabinoid receptor 1,CNR1,ANTAGONIST
RIOCIGUAT,4,Small molecule,1,,Soluble guanylate cyclase,GUCY1B2,POSITIVE ALLOSTERIC MODULATOR
RIPRETINIB,4,Small molecule,1,,Mast/stem cell growth factor receptor Kit,KIT,INHIBITOR
RIPRETINIB,4,Small molecule,1,,Platelet-derived growth factor receptor alpha,PDGFRA,INHIBITOR
RISDIPLAM,4,Small molecule,1,,SMN2 pre-mRNA,,POSITIVE MODULATOR
RISEDRONATE SODIUM,4,Small molecule,1,,Farnesyl pyrophosphate synthase,FDPS,INHIBITOR
RISPERIDONE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
RISPERIDONE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,ANTAGONIST
RISPERIDONE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
RITLECITINIB,4,Small molecule,1,,TEC family kinase,TXK,INHIBITOR
RITLECITINIB,4,Small molecule,1,,Tyrosine-protein kinase JAK3,JAK3,INHIBITOR
RITLECITINIB TOSYLATE,4,Small molecule,1,,TEC family kinase,TXK,INHIBITOR
RITLECITINIB TOSYLATE,4,Small molecule,1,,Tyrosine-protein kinase JAK3,JAK3,INHIBITOR
RITODRINE HYDROCHLORIDE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
RITONAVIR,4,Small molecule,1,,Cytochrome P450 3A,CYP3A7,INHIBITOR
RITONAVIR,4,Small molecule,1,,Human immunodeficiency virus type 1 protease,pol,INHIBITOR
RIVAROXABAN,4,Small molecule,1,,Coagulation factor X,F10,INHIBITOR
RIVASTIGMINE,4,Small molecule,1,,Cholinesterases; ACHE & BCHE,BCHE,INHIBITOR
RIVASTIGMINE TARTRATE,4,Small molecule,1,,Cholinesterases; ACHE & BCHE,BCHE,INHIBITOR
RIZATRIPTAN BENZOATE,4,Small molecule,1,,5-hydroxytryptamine receptor 1B,HTR1B,AGONIST
RIZATRIPTAN BENZOATE,4,Small molecule,1,,5-hydroxytryptamine receptor 1D,HTR1D,AGONIST
ROCILETINIB,3,Small molecule,1,,Epidermal growth factor receptor,EGFR,INHIBITOR
ROCURONIUM BROMIDE,4,Small molecule,1,,Muscle-type nicotinic acetylcholine receptor,CHRNG,ANTAGONIST
ROFECOXIB,4,Small molecule,1,,Prostaglandin G/H synthase 2,PTGS2,INHIBITOR
ROFLUMILAST,4,Small molecule,1,,Phosphodiesterase 4,PDE4D,INHIBITOR
ROLAPITANT HYDROCHLORIDE,4,Small molecule,1,,Substance-P receptor,TACR1,ANTAGONIST
ROPINIROLE HYDROCHLORIDE,4,Small molecule,1,,D2-like dopamine receptor,DRD4,AGONIST
ROPIVACAINE HYDROCHLORIDE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
ROSIGLITAZONE,4,Small molecule,1,,Peroxisome proliferator-activated receptor gamma,PPARG,AGONIST
ROSIGLITAZONE MALEATE,4,Small molecule,1,,Peroxisome proliferator-activated receptor gamma,PPARG,AGONIST
ROSUVASTATIN CALCIUM,4,Small molecule,1,,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,INHIBITOR
ROTIGOTINE,4,Small molecule,1,,D2-like dopamine receptor,DRD4,AGONIST
ROXADUSTAT,4,Small molecule,1,,Hypoxia-inducible factor prolyl hydroxylase,P4HTM,INHIBITOR
RUCAPARIB,4,Small molecule,1,,"PARP 1, 2 and 3",PARP3,INHIBITOR
RUCAPARIB CAMSYLATE,4,Small molecule,1,,"PARP 1, 2 and 3",PARP3,INHIBITOR
RUFINAMIDE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
RUXOLITINIB PHOSPHATE,4,Small molecule,1,,Tyrosine-protein kinase JAK1,JAK1,INHIBITOR
RUXOLITINIB PHOSPHATE,4,Small molecule,1,,Tyrosine-protein kinase JAK2,JAK2,INHIBITOR
SACUBITRIL,4,Small molecule,1,,Neprilysin,MME,INHIBITOR
SAFINAMIDE,4,Small molecule,1,,Amine oxidase [flavin-containing] B,MAOB,INHIBITOR
SAFINAMIDE MESYLATE,4,Small molecule,1,,Amine oxidase [flavin-containing] B,MAOB,INHIBITOR
SALMETEROL XINAFOATE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
SAMIDORPHAN,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,ANTAGONIST
SAMIDORPHAN L-MALATE,4,Small molecule,1,,Delta-type opioid receptor,OPRD1,PARTIAL AGONIST
SAMIDORPHAN L-MALATE,4,Small molecule,1,,Kappa-type opioid receptor,OPRK1,PARTIAL AGONIST
SAMIDORPHAN L-MALATE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,ANTAGONIST
SAPROPTERIN DIHYDROCHLORIDE,4,Small molecule,1,,Phenylalanine-4-hydroxylase,PAH,ACTIVATOR
SAQUINAVIR,4,Small molecule,1,,Human immunodeficiency virus type 1 protease,pol,INHIBITOR
SAQUINAVIR MESYLATE,4,Small molecule,1,,Human immunodeficiency virus type 1 protease,pol,INHIBITOR
SAXAGLIPTIN HYDROCHLORIDE,4,Small molecule,1,,Dipeptidyl peptidase 4,DPP4,INHIBITOR
SCOPOLAMINE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
SECNIDAZOLE,4,Small molecule,1,,DNA,,INHIBITOR
SECOBARBITAL SODIUM,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
SEGESTERONE ACETATE,4,Small molecule,1,,Progesterone receptor,PGR,AGONIST
SELADELPAR,4,Small molecule,1,,Peroxisome proliferator-activated receptor delta,PPARD,AGONIST
SELADELPAR LYSINE,4,Small molecule,1,,Peroxisome proliferator-activated receptor delta,PPARD,AGONIST
SELEGILINE,4,Small molecule,1,,Amine oxidase [flavin-containing] B,MAOB,INHIBITOR
SELEGILINE HYDROCHLORIDE,4,Small molecule,1,,Amine oxidase [flavin-containing] B,MAOB,INHIBITOR
SELEXIPAG,4,Small molecule,1,,Prostacyclin receptor,PTGIR,AGONIST
SELINEXOR,4,Small molecule,1,,Exportin-1,XPO1,INHIBITOR
SELPERCATINIB,4,Small molecule,1,,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET,RET,INHIBITOR
SELPERCATINIB,4,Small molecule,1,,Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET,RET,INHIBITOR
SELPERCATINIB,4,Small molecule,1,,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,INHIBITOR
SELUMETINIB,4,Small molecule,1,,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,INHIBITOR
SELUMETINIB,4,Small molecule,1,,Dual specificity mitogen-activated protein kinase kinase 2,MAP2K2,INHIBITOR
SELUMETINIB SULFATE,4,Small molecule,1,,Dual specificity mitogen-activated protein kinase kinase; MEK1/2,MAP2K2,INHIBITOR
SERDEXMETHYLPHENIDATE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,INHIBITOR
SERDEXMETHYLPHENIDATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
SERDEXMETHYLPHENIDATE CHLORIDE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,INHIBITOR
SERDEXMETHYLPHENIDATE CHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
SERTACONAZOLE NITRATE,4,Small molecule,1,,Lanosterol 14-alpha demethylase,ERG11,INHIBITOR
SERTINDOLE,4,Small molecule,1,,Adrenergic receptor alpha-1,ADRA1D,ANTAGONIST
SERTINDOLE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
SERTINDOLE,4,Small molecule,1,,Serotonin 2 receptors; 5-HT2a & 5-HT2c,HTR2C,ANTAGONIST
SERTRALINE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
SEVELAMER HYDROCHLORIDE,4,Small molecule,1,,Phosphate,,SEQUESTERING AGENT
SEVOFLURANE,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
SEVOFLURANE,4,Small molecule,1,,Glycine receptor (alpha-1/beta),GLRB,POSITIVE MODULATOR
SEVOFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 10,KCNK10,OPENER
SEVOFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 18,KCNK18,OPENER
SEVOFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 2,KCNK2,OPENER
SEVOFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 3,KCNK3,OPENER
SEVOFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 9,KCNK9,OPENER
SIBUTRAMINE HYDROCHLORIDE,4,Small molecule,1,,Monoamine transporter,SLC6A4,INHIBITOR
SILDENAFIL CITRATE,4,Small molecule,1,,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,INHIBITOR
SILODOSIN,4,Small molecule,1,,Alpha-1A adrenergic receptor,ADRA1A,ANTAGONIST
SIMEPREVIR SODIUM,4,Small molecule,1,,"Hepatitis C virus serine protease, NS3/NS4A",NS4A,INHIBITOR
SIMVASTATIN,4,Small molecule,1,,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,INHIBITOR
SIPONIMOD,4,Small molecule,1,,Sphingosine 1-phosphate receptor 1,S1PR1,AGONIST
SIPONIMOD FUMARIC ACID,4,Small molecule,1,,Sphingosine 1-phosphate receptor 1,S1PR1,AGONIST
SIROLIMUS,4,Small molecule,1,,Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A,INHIBITOR
SITAGLIPTIN FUMARATE,4,Small molecule,1,,Dipeptidyl peptidase 4,DPP4,INHIBITOR
SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE,4,Small molecule,1,,Dipeptidyl peptidase 4,DPP4,INHIBITOR
SITAGLIPTIN PHOSPHATE,4,Small molecule,1,,Dipeptidyl peptidase 4,DPP4,INHIBITOR
SITAXENTAN,4,Small molecule,1,,"Endothelin receptor, ET-A/ET-B",EDNRB,ANTAGONIST
SITAXENTAN SODIUM,4,Small molecule,1,,"Endothelin receptor, ET-A/ET-B",EDNRB,ANTAGONIST
SODIUM NITROPRUSSIDE,4,Small molecule,1,,Soluble guanylate cyclase,GUCY1B2,ACTIVATOR
SODIUM OXYBATE,4,Small molecule,1,,GABA-B receptor,GABBR2,AGONIST
SODIUM PHENYLACETATE,4,Small molecule,1,,Glutamine,,SEQUESTERING AGENT
SODIUM PHENYLBUTYRATE,4,Small molecule,1,,Glutamine,,SEQUESTERING AGENT
SODIUM ZIRCONIUM CYCLOSILICATE,4,Small molecule,1,,Potassium,,CHELATING AGENT
SOFOSBUVIR,4,Small molecule,1,,RNA-directed RNA polymerase,NS5b,INHIBITOR
SOFPIRONIUM BROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor,CHRM5,INHIBITOR
SOLIFENACIN SUCCINATE,4,Small molecule,1,,Muscarinic acetylcholine receptor M2,CHRM2,ANTAGONIST
SOLIFENACIN SUCCINATE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
SOMAPACITAN,4,Small molecule,1,,Growth hormone receptor,GHR,AGONIST
SONIDEGIB PHOSPHATE,4,Small molecule,1,,Protein smoothened,SMO,INHIBITOR
SORAFENIB TOSYLATE,4,Small molecule,1,,Mast/stem cell growth factor receptor Kit,KIT,INHIBITOR
SORAFENIB TOSYLATE,4,Small molecule,1,,Platelet-derived growth factor receptor beta,PDGFRB,INHIBITOR
SORAFENIB TOSYLATE,4,Small molecule,1,,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,INHIBITOR
SORAFENIB TOSYLATE,4,Small molecule,1,,RAF proto-oncogene serine/threonine-protein kinase,RAF1,INHIBITOR
SORAFENIB TOSYLATE,4,Small molecule,1,,Receptor-type tyrosine-protein kinase FLT3,FLT3,INHIBITOR
SORAFENIB TOSYLATE,4,Small molecule,1,,Serine/threonine-protein kinase B-raf,BRAF,INHIBITOR
SORAFENIB TOSYLATE,4,Small molecule,1,,Vascular endothelial growth factor receptor,KDR,INHIBITOR
SOTAGLIFLOZIN,4,Small molecule,1,,Sodium/glucose cotransporter 1,SLC5A1,INHIBITOR
SOTAGLIFLOZIN,4,Small molecule,1,,Sodium/glucose cotransporter 2,SLC5A2,INHIBITOR
SOTALOL HYDROCHLORIDE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
SOTALOL HYDROCHLORIDE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,ANTAGONIST
SOTALOL HYDROCHLORIDE,4,Small molecule,1,,Voltage-gated inwardly rectifying potassium channel KCNH2,KCNH2,BLOCKER
SOTORASIB,4,Small molecule,1,,GTPase KRas,KRAS,INHIBITOR
SPARFLOXACIN,4,Small molecule,1,,Bacterial DNA gyrase,gyrB,INHIBITOR
SPARFLOXACIN,4,Small molecule,1,,Topoisomerase IV,parE,INHIBITOR
SPARSENTAN,4,Small molecule,1,,Endothelin-1 receptor,EDNRA,ANTAGONIST
SPARSENTAN,4,Small molecule,1,,Type-1 angiotensin II receptor,AGTR1,ANTAGONIST
SPECTINOMYCIN HYDROCHLORIDE,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
SPINOSAD,4,Small molecule,1,,Nicotinic acetylcholine receptor,8238275,AGONIST
SPIRAMYCIN,3,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
SPIRAPRIL HYDROCHLORIDE,4,Small molecule,1,,Angiotensin-converting enzyme,ACE,INHIBITOR
SPIRONOLACTONE,4,Small molecule,1,,Mineralocorticoid receptor,NR3C2,ANTAGONIST
STANOZOLOL,4,Small molecule,1,,Androgen receptor,AR,AGONIST
STAVUDINE,4,Small molecule,1,,Human immunodeficiency virus type 1 reverse transcriptase,pol,INHIBITOR
STREPTOMYCIN SULFATE,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
STREPTOZOCIN,4,Small molecule,1,,DNA,,INHIBITOR
SUCCIMER,4,Small molecule,1,,Lead,,CHELATING AGENT
SUCCINYLCHOLINE CHLORIDE,4,Small molecule,1,,Muscle-type nicotinic acetylcholine receptor,CHRNG,AGONIST
SUFENTANIL CITRATE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
SULBACTAM SODIUM,4,Small molecule,1,,Beta-lactamase TEM,blaT-6,INHIBITOR
SULCONAZOLE NITRATE,4,Small molecule,1,,Lanosterol 14-alpha demethylase,ERG11,INHIBITOR
SULFACETAMIDE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFACETAMIDE SODIUM,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFACYTINE,4,Small molecule,1,,Dihydropteroate synthetase,PPPK-DHPS,INHIBITOR
SULFADIAZINE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFADIAZINE SODIUM,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
"SULFADIAZINE, SILVER",4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFADIMETHOXINE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFADOXINE,4,Small molecule,1,,Dihydropteroate synthetase,PPPK-DHPS,INHIBITOR
SULFALENE,3,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFAMERAZINE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFAMETER,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFAMETHAZINE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFAMETHIZOLE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFAMETHOXAZOLE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFAMETHOXYPYRIDAZINE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFANILAMIDE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFAPHENAZOLE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFAPYRIDINE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFASALAZINE,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
SULFASALAZINE,4,Small molecule,1,,Polyunsaturated fatty acid 5-lipoxygenase,ALOX5,INHIBITOR
SULFATHIAZOLE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFINPYRAZONE,4,Small molecule,1,,Solute carrier family 22 member 12,SLC22A12,INHIBITOR
SULFISOXAZOLE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFISOXAZOLE ACETYL,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFISOXAZOLE DIOLAMINE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
SULFOXONE SODIUM,4,Small molecule,1,,Dihydropteroate synthase,folP1,INHIBITOR
SULINDAC,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
SULPIRIDE,3,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
SULTHIAME,3,Small molecule,1,,Carbonic anhydrase,CA9,INHIBITOR
SUMATRIPTAN,4,Small molecule,1,,5-hydroxytryptamine receptor 1B,HTR1B,AGONIST
SUMATRIPTAN,4,Small molecule,1,,5-hydroxytryptamine receptor 1D,HTR1D,AGONIST
SUMATRIPTAN SUCCINATE,4,Small molecule,1,,5-hydroxytryptamine receptor 1B,HTR1B,AGONIST
SUMATRIPTAN SUCCINATE,4,Small molecule,1,,5-hydroxytryptamine receptor 1D,HTR1D,AGONIST
SUNITINIB,4,Small molecule,1,,Macrophage colony-stimulating factor 1 receptor,CSF1R,INHIBITOR
SUNITINIB,4,Small molecule,1,,Mast/stem cell growth factor receptor Kit,KIT,INHIBITOR
SUNITINIB,4,Small molecule,1,,Platelet-derived growth factor receptor alpha,PDGFRA,INHIBITOR
SUNITINIB,4,Small molecule,1,,Platelet-derived growth factor receptor beta,PDGFRB,INHIBITOR
SUNITINIB,4,Small molecule,1,,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,INHIBITOR
SUNITINIB,4,Small molecule,1,,Receptor-type tyrosine-protein kinase FLT3,FLT3,INHIBITOR
SUNITINIB,4,Small molecule,1,,Vascular endothelial growth factor receptor 1,FLT1,INHIBITOR
SUNITINIB,4,Small molecule,1,,Vascular endothelial growth factor receptor 2,KDR,INHIBITOR
SUNITINIB,4,Small molecule,1,,Vascular endothelial growth factor receptor 3,FLT4,INHIBITOR
SUNITINIB MALATE,4,Small molecule,1,,Macrophage colony-stimulating factor 1 receptor,CSF1R,INHIBITOR
SUNITINIB MALATE,4,Small molecule,1,,Mast/stem cell growth factor receptor Kit,KIT,INHIBITOR
SUNITINIB MALATE,4,Small molecule,1,,Platelet-derived growth factor receptor,PDGFRB,INHIBITOR
SUNITINIB MALATE,4,Small molecule,1,,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,INHIBITOR
